;JetBlue;Southwest Airlines;Delta Air Lines;United Airlines;American Airlines;Alaska Airlines;All airlines average;Allegiant;Frontier;Spirit
1995;;76;72;67;71;;69;;;
1996;;76;67;70;71;;69;;;
1997;;76;69;68;62;;67;;;
1998;;74;65;65;67;;65;;;
1999;;72;68;62;64;;63;;;
2000;;70;66;62;63;;63;;;
2001;;70;61;59;62;;61;;;
2002;;74;66;64;63;;66;;;
2003;;75;67;63;67;;67;;;
2004;;73;67;64;66;;66;;;
2005;;74;65;61;64;;66;;;
2006;;74;64;63;62;;65;;;
2007;;76;59;56;60;;63;;;
2008;;79;60;56;62;;62;;;
2009;;81;64;56;60;;64;;;
2010;;79;62;60;63;;66;;;
2011;;81;56;61;63;;65;;;
2012;81;77;65;62;64;;67;;;
2013;83;81;68;62;65;;69;;;
2014;79;78;71;60;66;;69;;;
2015;81;78;71;60;66;75;69;65;58;54
2016;80;80;71;68;72;77;72;65;66;62
2017;82;80;76;70;76;78;75;71;63;61
2018;79;80;74;67;74;79;73;74;62;62
2019;79;79;75;70;73;80;74;71;64;63
2020;78;79;77;75;74;78;75;74;66;65
2021;77;79;79;75;75;77;76;72;68;66
2022;79;77;77;77;77;75;75;70;66;63
2023;76;78;76;77;78;81;76;75;67;64