Year,UniqueCarrierCode,Description,CollectiveCarrierDelay,NumPlanesThisYear
2003,AA,American Airlines Inc.,1230662,912
2003,AS,Alaska Airlines Inc.,297576,114
2003,B6,JetBlue Airways,94645,55
2003,CO,Continental Air Lines Inc.,290367,366
2003,DH,Independence Air,579592,150
2003,DL,Delta Air Lines Inc.,816871,561
2003,EV,Atlantic Southeast Airlines,573826,162
2003,FL,AirTran Airways Corporation,147797,93
2003,HA,Hawaiian Airlines Inc.,18451,28
2003,HP,America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.),363153,147
2003,MQ,American Eagle Airlines Inc.,662997,247
2003,NW,Northwest Airlines Inc.,823229,445
2003,OO,Skywest Airlines Inc.,577720,194
2003,TZ,ATA Airlines d/b/a ATA,89336,65
2003,UA,United Air Lines Inc.,634451,558
2003,US,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),400381,288
2003,WN,Southwest Airlines Co.,658407,393
2003,XE,Expressjet Airlines Inc.,308819,231
2004,AA,American Airlines Inc.,2101534,775
2004,AS,Alaska Airlines Inc.,662726,111
2004,B6,JetBlue Airways,154135,70
2004,CO,Continental Air Lines Inc.,593728,363
2004,DH,Independence Air,558152,149
2004,DL,Delta Air Lines Inc.,1873049,536
2004,EV,Atlantic Southeast Airlines,953092,143
2004,FL,AirTran Airways Corporation,263475,90
2004,HA,Hawaiian Airlines Inc.,84816,29
2004,HP,America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.),733489,150
2004,MQ,American Eagle Airlines Inc.,1505874,486
2004,NW,Northwest Airlines Inc.,1730237,404
2004,OH,Comair Inc.,1523539,165
2004,OO,Skywest Airlines Inc.,1434313,215
2004,TZ,ATA Airlines d/b/a ATA,153833,66
2004,UA,United Air Lines Inc.,1298538,532
2004,US,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),918432,327
2004,WN,Southwest Airlines Co.,1609504,608
2004,XE,Expressjet Airlines Inc.,680607,246
2005,AA,American Airlines Inc.,2086897,711
2005,AS,Alaska Airlines Inc.,987295,112
2005,B6,JetBlue Airways,281432,93
2005,CO,Continental Air Lines Inc.,697759,353
2005,DH,Independence Air,230283,136
2005,DL,Delta Air Lines Inc.,1871056,533
2005,EV,Atlantic Southeast Airlines,1596987,180
2005,F9,Frontier Airlines Inc.,115760,49
2005,FL,AirTran Airways Corporation,462075,107
2005,HA,Hawaiian Airlines Inc.,75711,26
2005,HP,America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.),602806,151
2005,MQ,American Eagle Airlines Inc.,1520687,269
2005,NW,Northwest Airlines Inc.,2383235,396
2005,OH,Comair Inc.,1322505,181
2005,OO,Skywest Airlines Inc.,1925288,247
2005,TZ,ATA Airlines d/b/a ATA,85269,62
2005,UA,United Air Lines Inc.,1575285,497
2005,US,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),1110119,307
2005,WN,Southwest Airlines Co.,1704389,451
2005,XE,Expressjet Airlines Inc.,807042,267
2006,AA,American Airlines Inc.,2169731,702
2006,AQ,Aloha Airlines Inc.,58383,28
2006,AS,Alaska Airlines Inc.,660493,116
2006,B6,JetBlue Airways,400311,125
2006,CO,Continental Air Lines Inc.,878012,350
2006,DL,Delta Air Lines Inc.,1560855,480
2006,EV,Atlantic Southeast Airlines,1948308,159
2006,F9,Frontier Airlines Inc.,184844,55
2006,FL,AirTran Airways Corporation,426747,127
2006,HA,Hawaiian Airlines Inc.,111508,27
2006,MQ,American Eagle Airlines Inc.,1841038,270
2006,NW,Northwest Airlines Inc.,1973299,350
2006,OH,Comair Inc.,1400991,175
2006,OO,Skywest Airlines Inc.,2582623,263
2006,TZ,ATA Airlines d/b/a ATA,77066,30
2006,UA,United Air Lines Inc.,1651083,461
2006,US,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),1406804,466
2006,WN,Southwest Airlines Co.,2003472,482
2006,XE,Expressjet Airlines Inc.,1104644,275
2006,YV,Mesa Airlines Inc.,1815082,160
2007,9E,Pinnacle Airlines Inc.,1127692,141
2007,AA,American Airlines Inc.,2700300,674
2007,AQ,Aloha Airlines Inc.,77812,27
2007,AS,Alaska Airlines Inc.,722012,128
2007,B6,JetBlue Airways,562553,140
2007,CO,Continental Air Lines Inc.,906231,358
2007,DL,Delta Air Lines Inc.,1530087,449
2007,EV,Atlantic Southeast Airlines,2832238,162
2007,F9,Frontier Airlines Inc.,279277,62
2007,FL,AirTran Airways Corporation,502204,137
2007,HA,Hawaiian Airlines Inc.,134564,30
2007,MQ,American Eagle Airlines Inc.,2007701,269
2007,NW,Northwest Airlines Inc.,2276303,356
2007,OH,Comair Inc.,1393125,164
2007,OO,Skywest Airlines Inc.,2730247,284
2007,UA,United Air Lines Inc.,1838180,461
2007,US,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),2042191,420
2007,WN,Southwest Airlines Co.,2102273,863
2007,XE,Expressjet Airlines Inc.,1266355,276
2007,YV,Mesa Airlines Inc.,1777089,140
2008,9E,Pinnacle Airlines Inc.,454496,149
2008,AA,American Airlines Inc.,1031402,655
2008,AQ,Aloha Airlines Inc.,8727,20
2008,AS,Alaska Airlines Inc.,172036,119
2008,B6,JetBlue Airways,183732,141
2008,CO,Continental Air Lines Inc.,338712,360
2008,DL,Delta Air Lines Inc.,472071,450
2008,EV,Atlantic Southeast Airlines,721205,161
2008,F9,Frontier Airlines Inc.,91441,62
2008,FL,AirTran Airways Corporation,160494,141
2008,HA,Hawaiian Airlines Inc.,38913,29
2008,MQ,American Eagle Airlines Inc.,680339,259
2008,NW,Northwest Airlines Inc.,628606,319
2008,OH,Comair Inc.,407430,137
2008,OO,Skywest Airlines Inc.,786019,281
2008,UA,United Air Lines Inc.,650950,454
2008,US,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),390349,361
2008,WN,Southwest Airlines Co.,839145,534
2008,XE,Expressjet Airlines Inc.,483047,275
2008,YV,Mesa Airlines Inc.,669797,126
